Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,seed
2025,Oklahoma City Thunder,43,9,.827,—,118.2,104.8,13.18,1
2025,Cleveland Cavaliers,43,10,.811,—,122.5,112.0,9.51,2
2025,Boston Celtics,38,16,.704,5.5,117.2,108.2,8.40,3
2025,Memphis Grizzlies,36,17,.679,7.5,123.5,115.5,7.16,4
2025,New York Knicks,35,18,.660,8.0,117.8,111.8,4.93,5
2025,Denver Nuggets,35,19,.648,9.0,121.3,115.8,5.25,6
2025,Los Angeles Lakers,32,19,.627,10.5,113.2,112.1,0.88,7
2025,Houston Rockets,33,20,.623,10.5,112.9,108.7,5.16,8
2025,Los Angeles Clippers,29,23,.558,14.0,110.5,107.8,2.85,9
2025,Indiana Pacers,29,23,.558,13.5,115.7,115.3,-0.25,10
2025,Minnesota Timberwolves,30,24,.556,14.0,111.6,108.3,3.78,11
2025,Milwaukee Bucks,28,24,.538,14.5,114.5,113.1,0.41,12
2025,Dallas Mavericks,28,26,.519,16.0,115.8,113.6,2.92,13
2025,Detroit Pistons,28,26,.519,15.5,113.3,113.1,-0.18,14
2025,Sacramento Kings,27,26,.509,16.5,116.4,115.7,0.64,15
2025,Golden State Warriors,27,26,.509,16.5,112.2,111.9,1.01,16
2025,Phoenix Suns,26,27,.491,17.5,113.2,114.9,-2.08,17
2025,Miami Heat,25,26,.490,17.0,110.0,110.5,-1.18,18
2025,Atlanta Hawks,26,28,.481,17.5,116.1,118.6,-2.69,19
2025,Orlando Magic,26,29,.473,18.0,104.0,105.8,-2.17,20
2025,San Antonio Spurs,23,28,.451,19.5,113.2,114.4,-1.28,21
2025,Portland Trail Blazers,23,31,.426,21.0,109.0,114.5,-4.92,22
2025,Chicago Bulls,22,32,.407,21.5,116.1,120.6,-4.65,23
2025,Philadelphia 76ers,20,33,.377,23.0,109.4,113.2,-3.63,24
2025,Brooklyn Nets,19,34,.358,24.0,105.1,111.3,-5.96,25
2025,Toronto Raptors,17,37,.315,26.5,110.6,116.2,-4.21,26
2025,Charlotte Hornets,13,38,.255,29.0,106.6,112.0,-5.77,27
2025,Utah Jazz,12,40,.231,31.0,111.9,119.4,-6.92,28
2025,New Orleans Pelicans,12,41,.226,31.5,110.0,119.2,-8.14,29
2025,Washington Wizards,9,44,.170,34.0,108.2,121.8,-12.17,30
